Session_ID,Timestamp,Category,Element,Property,Old_Value,New_Value
SESS-3859,2026-02-20 18:38:59,CSS Rename,Title,Value,unknown,item-name
SESS-3859,2026-02-20 18:38:59,CSS Rename,Price,Value,unknown,product-price
SESS-3901,2026-02-20 18:39:01,Unit Drift,Price,Value,unknown,Numeric_Fix
SESS-3901,2026-02-20 18:39:01,JSON Nesting,API,Value,unknown,3
SESS-3921,2026-02-20 18:39:21,CSS Rename,Title,Value,unknown,item-name
SESS-3921,2026-02-20 18:39:21,CSS Rename,Price,Value,unknown,product-price
SESS-3923,2026-02-20 18:39:23,Unit Drift,Price,Value,unknown,Numeric_Fix
SESS-3923,2026-02-20 18:39:23,JSON Nesting,API,Value,unknown,3
SESS-3944,2026-02-20 18:39:44,CSS Rename,Title,Value,unknown,item-name
SESS-3944,2026-02-20 18:39:44,CSS Rename,Price,Value,unknown,product-price
SESS-3946,2026-02-20 18:39:46,Unit Drift,Price,Value,unknown,Numeric_Fix
SESS-3946,2026-02-20 18:39:46,JSON Nesting,API,Value,unknown,3
SESS-4006,2026-02-20 18:40:06,CSS Rename,Title,Value,unknown,item-name
SESS-4006,2026-02-20 18:40:06,CSS Rename,Price,Value,unknown,product-price
SESS-4008,2026-02-20 18:40:08,Unit Drift,Price,Value,unknown,Numeric_Fix
SESS-4008,2026-02-20 18:40:08,JSON Nesting,API,Value,unknown,3
SESS-4029,2026-02-20 18:40:29,CSS Rename,Title,Value,unknown,item-name
SESS-4029,2026-02-20 18:40:29,CSS Rename,Price,Value,unknown,product-price
SESS-4031,2026-02-20 18:40:31,Unit Drift,Price,Value,unknown,Numeric_Fix
SESS-4031,2026-02-20 18:40:31,JSON Nesting,API,Value,unknown,3
SESS-4051,2026-02-20 18:40:51,CSS Rename,Title,Value,unknown,item-name
SESS-4051,2026-02-20 18:40:51,CSS Rename,Price,Value,unknown,product-price
SESS-4054,2026-02-20 18:40:54,Unit Drift,Price,Value,unknown,Numeric_Fix
SESS-4054,2026-02-20 18:40:54,JSON Nesting,API,Value,unknown,3
SESS-4114,2026-02-20 18:41:14,CSS Rename,Title,Value,unknown,item-name
SESS-4114,2026-02-20 18:41:14,CSS Rename,Price,Value,unknown,product-price
SESS-4116,2026-02-20 18:41:16,Unit Drift,Price,Value,unknown,Numeric_Fix
SESS-4116,2026-02-20 18:41:16,JSON Nesting,API,Value,unknown,3
SESS-4137,2026-02-20 18:41:37,CSS Rename,Title,Value,unknown,item-name
SESS-4137,2026-02-20 18:41:37,CSS Rename,Price,Value,unknown,product-price
SESS-4139,2026-02-20 18:41:39,Unit Drift,Price,Value,unknown,Numeric_Fix
SESS-4139,2026-02-20 18:41:39,JSON Nesting,API,Value,unknown,3
SESS-4159,2026-02-20 18:41:59,CSS Rename,Title,Value,unknown,item-name
SESS-4159,2026-02-20 18:41:59,CSS Rename,Price,Value,unknown,product-price
SESS-4201,2026-02-20 18:42:01,Unit Drift,Price,Value,unknown,Numeric_Fix
SESS-4201,2026-02-20 18:42:01,JSON Nesting,API,Value,unknown,3
SESS-4222,2026-02-20 18:42:22,CSS Rename,Title,Value,unknown,item-name
SESS-4222,2026-02-20 18:42:22,CSS Rename,Price,Value,unknown,product-price
SESS-4224,2026-02-20 18:42:24,Unit Drift,Price,Value,unknown,Numeric_Fix
SESS-4224,2026-02-20 18:42:24,JSON Nesting,API,Value,unknown,4
SESS-4244,2026-02-20 18:42:44,CSS Rename,Title,Value,unknown,item-name
SESS-4244,2026-02-20 18:42:44,CSS Rename,Price,Value,unknown,product-price
SESS-4246,2026-02-20 18:42:46,Unit Drift,Price,Value,unknown,Numeric_Fix
SESS-4246,2026-02-20 18:42:46,JSON Nesting,API,Value,unknown,4
SESS-4307,2026-02-20 18:43:07,CSS Rename,Title,Value,unknown,product-heading
SESS-4307,2026-02-20 18:43:07,CSS Rename,Price,Value,unknown,item-cost
SESS-4309,2026-02-20 18:43:09,Unit Drift,Price,Value,unknown,Numeric_Fix
SESS-4309,2026-02-20 18:43:09,JSON Nesting,API,Value,unknown,4
SESS-4329,2026-02-20 18:43:29,CSS Rename,Title,Value,unknown,title-text
SESS-4329,2026-02-20 18:43:29,CSS Rename,Price,Value,unknown,price-display
SESS-4332,2026-02-20 18:43:32,Unit Drift,Price,Value,unknown,Numeric_Fix
SESS-4332,2026-02-20 18:43:32,JSON Nesting,API,Value,unknown,4
SESS-4352,2026-02-20 18:43:52,CSS Rename,Title,Value,unknown,title-text
SESS-4352,2026-02-20 18:43:52,CSS Rename,Price,Value,unknown,price-display
SESS-4354,2026-02-20 18:43:54,Unit Drift,Price,Value,unknown,Numeric_Fix
SESS-4354,2026-02-20 18:43:54,JSON Nesting,API,Value,unknown,4
SESS-4415,2026-02-20 18:44:15,CSS Rename,Title,Value,unknown,title-text
SESS-4415,2026-02-20 18:44:15,CSS Rename,Price,Value,unknown,price-display
SESS-4417,2026-02-20 18:44:17,Unit Drift,Price,Value,unknown,Numeric_Fix
SESS-4417,2026-02-20 18:44:17,JSON Nesting,API,Value,unknown,4
SESS-4437,2026-02-20 18:44:37,CSS Rename,Title,Value,unknown,title-text
SESS-4437,2026-02-20 18:44:37,CSS Rename,Price,Value,unknown,price-display
SESS-4439,2026-02-20 18:44:39,Unit Drift,Price,Value,unknown,Numeric_Fix
SESS-4439,2026-02-20 18:44:39,JSON Nesting,API,Value,unknown,4
SESS-4500,2026-02-20 18:45:00,CSS Rename,Title,Value,unknown,product-name-display
SESS-4500,2026-02-20 18:45:00,CSS Rename,Price,Value,unknown,currency-value
SESS-4502,2026-02-20 18:45:02,Unit Drift,Price,Value,unknown,Numeric_Fix
SESS-4502,2026-02-20 18:45:02,JSON Nesting,API,Value,unknown,4
SESS-4522,2026-02-20 18:45:22,CSS Rename,Title,Value,unknown,product-name-display
SESS-4522,2026-02-20 18:45:22,CSS Rename,Price,Value,unknown,currency-value
SESS-4524,2026-02-20 18:45:24,Unit Drift,Price,Value,unknown,Numeric_Fix
SESS-4524,2026-02-20 18:45:24,JSON Nesting,API,Value,unknown,4
SESS-4545,2026-02-20 18:45:45,CSS Rename,Title,Value,unknown,product-name-display
SESS-4545,2026-02-20 18:45:45,CSS Rename,Price,Value,unknown,currency-value
SESS-4547,2026-02-20 18:45:47,Unit Drift,Price,Value,unknown,Numeric_Fix
SESS-4547,2026-02-20 18:45:47,JSON Nesting,API,Value,unknown,5
SESS-4607,2026-02-20 18:46:07,CSS Rename,Title,Value,unknown,product-name-display
SESS-4607,2026-02-20 18:46:07,CSS Rename,Price,Value,unknown,currency-value
SESS-4609,2026-02-20 18:46:09,Unit Drift,Price,Value,unknown,Numeric_Fix
SESS-4609,2026-02-20 18:46:09,JSON Nesting,API,Value,unknown,5
SESS-4630,2026-02-20 18:46:30,CSS Rename,Title,Value,unknown,product-name-display
SESS-4630,2026-02-20 18:46:30,CSS Rename,Price,Value,unknown,currency-value
SESS-4632,2026-02-20 18:46:32,Unit Drift,Price,Value,unknown,Numeric_Fix
SESS-4632,2026-02-20 18:46:32,JSON Nesting,API,Value,unknown,5
SESS-4655,2026-02-20 18:46:55,Unit Drift,Price,Value,unknown,Numeric_Fix
SESS-4655,2026-02-20 18:46:55,JSON Nesting,API,Value,unknown,5
SESS-4715,2026-02-20 18:47:15,CSS Rename,Title,Value,unknown,product-name-display
SESS-4715,2026-02-20 18:47:15,CSS Rename,Price,Value,unknown,currency-value
SESS-4717,2026-02-20 18:47:17,Unit Drift,Price,Value,unknown,Numeric_Fix
SESS-4717,2026-02-20 18:47:17,JSON Nesting,API,Value,unknown,5
SESS-4738,2026-02-20 18:47:38,CSS Rename,Title,Value,unknown,product-name-display
SESS-4738,2026-02-20 18:47:38,CSS Rename,Price,Value,unknown,currency-value
SESS-4740,2026-02-20 18:47:40,Unit Drift,Price,Value,unknown,Numeric_Fix
SESS-4740,2026-02-20 18:47:40,JSON Nesting,API,Value,unknown,5
SESS-4800,2026-02-20 18:48:00,CSS Rename,Title,Value,unknown,product-name-display
SESS-4800,2026-02-20 18:48:00,CSS Rename,Price,Value,unknown,currency-value
SESS-4802,2026-02-20 18:48:02,Unit Drift,Price,Value,unknown,Numeric_Fix
SESS-4802,2026-02-20 18:48:02,JSON Nesting,API,Value,unknown,5
SESS-4825,2026-02-20 18:48:25,Unit Drift,Price,Value,unknown,Numeric_Fix
